date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:28	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2018%20May%202023%2013:03:06%20GMT	https://doctery-demo.pbminfotech.com/robots.txt		(from )
14:59:30	179105/179105	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2013:59:30%20GMT	https://doctery-demo.pbminfotech.com/demo2/	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/index.html	(from )
14:59:30	31344/31344	---M-Z	200	added ('OK')	text/css	etag:%227a70-5e167fb62f1c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/jquery-ui.css?ver=10.12	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/jquery-ui593d.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:31	33215/33215	---M-Z	200	added ('OK')	text/css	etag:%2281bf-5e167fb62f1c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/font-awesome/font-awesome.css?ver=10.12	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/font-awesome/font-awesome593d.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:31	49094/49094	---M-Z	200	added ('OK')	application/rss+xml	etag:%22452d391d38f4d73840ee62531d01af38-gzip%22	https://doctery-demo.pbminfotech.com/demo2/feed/	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/feed/index.html	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:31	5227/5227	---M-Z	200	added ('OK')	text/css	etag:%22146b-5e167fb62f1c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/style.css?ver=10.12	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/style593d.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:32	53237/53237	---M-Z	200	added ('OK')	text/css	etag:%22cff5-5e167fb62f1c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/effects.css?ver=10.12	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/effects593d.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:32	19132/19132	---M-Z	200	added ('OK')	text/css	etag:%224abc-5e167fb62f1c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/booking.css?ver=10.12	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/booking-calendar/css/booking593d.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:32	5241/5241	---M-Z	200	added ('OK')	application/rss+xml	etag:%22452d391d38f4d73840ee62531d01af38-gzip%22	https://doctery-demo.pbminfotech.com/demo2/comments/feed/	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/comments/feed/index.html	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:32	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-5f6894e808b33-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-includes/css/dist/block-library/style.min.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-includes/css/dist/block-library/style.min658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:32	4933/4933	---M-Z	200	added ('OK')	text/css	etag:%221345-5e175591c3f80-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=7.6.0	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style7ef2.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:33	211622/211622	---M-Z	200	added ('OK')	text/css	etag:%2233aa6-5e175591c3f80-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=7.6.0	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style7ef2.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:33	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5e1da768374c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/contact-form-7/includes/css/styles40df.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:33	31475/31475	---M-Z	200	added ('OK')	text/css	etag:%227af3-5fbece7f79679-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/pbminfotech-theme-dock/css/style.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/pbminfotech-theme-dock/css/style658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:33	17809/17809	---M-Z	200	added ('OK')	text/css	etag:%224591-5e17558ee78c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=6.6.0	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/assets/css/woocommerce-layout31dc.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:34	7043/7043	---M-Z	200	added ('OK')	text/css	etag:%221b83-5e17558ee78c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=6.6.0	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen31dc.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:34	62755/62755	---M-Z	200	added ('OK')	text/css	etag:%22f523-5e17558ee78c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=6.6.0	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/woocommerce/assets/css/woocommerce31dc.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:34	19128/19128	---M-Z	200	added ('OK')	text/css	etag:%224ab8-5e167fc389140-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:35	13805/13805	---M-Z	200	added ('OK')	text/css	etag:%2235ed-5e167fc389140-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.6.6	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/elementor/assets/css/frontend-legacy.min1ed5.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:35	163326/163326	---M-Z	200	added ('OK')	text/css	etag:%2227dfe-5e167fc389140-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.6	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/plugins/elementor/assets/css/frontend.min1ed5.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:35	1117/1117	---M-Z	200	added ('OK')	text/css	etag:%2245d-5e16805e07dc0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/uploads/sites/3/elementor/css/post-5.css?ver=1655211775	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/uploads/sites/3/elementor/css/post-50ca6.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:36	160347/160347	---M-Z	200	added ('OK')	text/css	etag:%222725b-5e176bb75bfc0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/bootstrap/css/bootstrap.min.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/bootstrap/css/bootstrap.min658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:36	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5e176bb75bfc0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/owl-carousel/assets/owl.carousel.min.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/owl-carousel/assets/owl.carousel.min658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:36	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-5e176bb75bfc0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/owl-carousel/assets/owl.theme.default.min.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/owl-carousel/assets/owl.theme.default.min658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:37	174064/174064	---M-Z	200	added ('OK')	text/css	etag:%222a7f0-5e294d9b358c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/css/all.min.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/css/all.min658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:37	6916/6916	---M-Z	200	added ('OK')	text/css	etag:%221b04-5e176bb75bfc0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/magnific-popup/magnific-popup.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/magnific-popup/magnific-popup658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:38	8347/8347	---M-Z	200	added ('OK')	text/css	etag:%22209b-5e176bb75bfc0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/themesion-base-icons/css/themesion-base-icons.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/themesion-base-icons/css/themesion-base-icons658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:38	13324/13324	---M-Z	200	added ('OK')	text/css	etag:%22340c-5e176bb75bfc0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/balloon/balloon.min.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/libraries/balloon/balloon.min658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:38	64499/64499	---M-Z	200	added ('OK')	text/css	etag:%22fbf3-5eb34e5c5c81e-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/thsn-doctery-css/3/theme-style.min.css?ver=899135	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/thsn-doctery-css/3/theme-style.min98c1.css	(from https://doctery-demo.pbminfotech.com/demo2/)
14:59:39	20146/20146	---M-Z	200	added ('OK')	text/css	etag:%224eb2-5e294d9b358c0-gzip%22	https://doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/css/responsive.min.css?ver=6.1.2	C:/My%20Web%20Sites/doctery/doctery-demo.pbminfotech.com/demo2/wp-content/themes/doctery/css/responsive.min658f.css	(from https://doctery-demo.pbminfotech.com/demo2/)
